name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,phi_rad,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G075.76+00.33,Loc,305.4211916666667,37.4248,0.285,0.022,-7.286950490205235,3.400914527904229,0.025737993920703136,8.041509004708777,2.7049274465818307,0.11476218016580231,-16.95602639386334,6.287200868308209,10.195590082053787,9.779028042044132,9.721576416947213
G075.78+00.34,Loc,305.4333833333334,37.44374444444444,0.261,0.03,-7.208956634681051,3.7139877580238183,0.027789552613754317,8.109424198268503,2.665866430778365,-3.982111664438816,-5.655190918137919,0.8622399472887848,9.619924160560943,6.452752496338603,10.259341808420075
G076.38-00.61,Loc,306.85614666666663,37.38012777777778,0.77,0.053,-7.844223813963814,1.2621114492662184,-0.008706050315397399,7.945109977459461,2.9820629822691296,2.273925209289227,-12.69501781422764,12.699042335640367,17.35555363699033,5.246377806586643,18.22645529491268
G078.12+03.63,Loc,303.608625,41.225747222222225,0.645,0.03,-7.831467090072976,1.5141437797268993,0.10352184709609896,7.976497236793964,2.9506080879806116,-34.46507478587358,-16.618317650696127,22.677283182263793,6.098140158798211,5.364248605391924,6.665792390356135
G078.88+00.70,Loc,307.35342916666673,40.188775,0.3,0.024,-7.50751491273962,3.2705749537654993,0.046315196210196134,8.188982885145505,2.730744328539993,-13.083491424497089,-12.14947857506732,-21.85415056940636,9.593522211848963,6.783348307208786,10.894070613221567
G079.73+00.99,Loc,307.7111375,41.04098333333333,0.737,0.062,-7.908241245008176,1.3349376964768545,0.028793303226443575,8.020120837164699,2.9743657540648316,1.4261428329803372,-11.564035240577965,6.288915612856911,5.906558932888062,5.041156372287764,6.148722738787137
G079.87+01.17,Loc,307.62143333333336,41.2649,0.62,0.027,-7.866543659263711,1.5874587486169909,0.03844073833198685,8.025118966199985,2.942468117512747,8.684693685372366,-13.174081298770489,3.720501124491098,10.49815246329554,9.916631329918582,10.522555780468869
G080.79-01.92,Loc,311.60641666666663,40.1165,0.62,0.047,-7.892259820879795,1.5912529640425856,-0.04873815031220214,8.051077634444217,2.942637995845935,-2.833512164980548,-10.77918667058222,-4.437421417691865,4.161145416125375,3.037911814671106,4.453874418318048
G080.86+00.38,Loc,309.254,41.58213888888889,0.687,0.038,-7.9188139321629,1.4370961105609463,0.015084064794271986,8.048158753603625,2.9620677853893533,7.039712081348041,-10.503510454931046,5.421979320001262,5.288216592365396,5.131304752548194,5.040290607518327
G081.75+00.59,Loc,309.7583041666667,42.416469444444445,0.666,0.035,-7.934603585425367,1.485892555853661,0.020838042002373488,8.072534344639632,2.956469416797969,-0.4445077136941527,-9.978893781208853,6.969449167000995,3.456072558824023,2.935509004482818,3.0366756599727522
G081.87+00.78,Loc,309.651775,42.626333333333335,0.772,0.042,-7.966844515468006,1.2822031654841428,0.023026663509370767,8.069365309069866,2.98201863912331,-0.9314825297775465,-0.01774293127343185,1.550261562777945,3.211895440749503,3.0324242001510315,3.170892150675381
G090.21+02.32,Loc,315.5945875,50.05230805555555,1.483,0.038,-8.152453552381479,0.6737494752241011,0.03284992630147878,8.180246773728904,3.0591362709707495,-4.600643193090552,-7.396520110105996,6.5443391037707395,5.174361484488105,5.227378567469256,5.222465101912501
G090.92+01.48,Out,317.30403541666664,50.01768444444444,0.171,0.031,-8.24390862058803,5.845228600595476,0.15729015153173237,10.105875852088477,2.5248279192947014,4.338673026850001,-29.93237260406252,16.43027580236848,6.402033142238373,19.437639661220707,7.493860657994585
